title,links
Amit,http://thegrok.cjb.net
Amit,http://europe.amitkoth.com
Bala Murali,http://indiago.blogspot.com
Bijoy,http://livejournal.com/users/bijoyv
Balaji,http://www.atheistbishop.blogspot.com/
Bala Pitchandi,http://balaspot.blogspot.com
Badri,http://badri.blogspot.com
Balaji,http://bsubra.blogspot.com
Bharani,http://bharani.blogdrive.com
Bored Dude,http://boreddude.rediffblogs.com
Chakra,http://www.chakkarapani.com/blogs
Chris Martin,http://intelligentlife.blogspot.com
Chirag Patnaik,http://chirag.fateback.com
Chand,http://darksideofchand.blogspot.com
ChandraChoodan,http://selectiveamnesia.blog-city.com
Chandru Rajagopalan,http://chandru.kaaninilam.com/blogs/abstractthoughts
Deepak,http://www.vdeepakis.blogspot.com
Deepali,http://deepali.blogspot.com
Deki,http://idreamz.blogspot.com
Debashish,http://www.jroller.com/page/debashish/Weblog
Nukta Chini,http://nuktachini.blogspot.com
Dina Mehta,http://radio.weblogs.com/0121664/
Dinesh’s Journal,http://dineshrao.blogspot.com
Deepan,http://mum.rediffblogs.com/
Devinder Dhillon,http://def.blogspot.com
Deepak,http://deepakg.blogspot.com
Deepak Kumar,http://deepak.blogdrive.com/
Enterprise Application Development,http://blogs.wwwcoder.com/deepak
MS .NET,http://www.dotnetjunkies.com/weblog/deepak/
Divyesh Lavingia,http://http://www.divman.com
Entelechy,http://bibliophile.rediffblogs.com
Elaichi,http://chavanni.rediffblogs.com/
Foolmaker,http://foolmaker.blogspot.com
George Thomas,http://georgethomas.blogspot.com/
Gaurav Sabnis,http://gauravsabnis.blogspot.com/
Gorgeous Diva,http://gorgeous.blogdrive.com/
Guru,http://lazygeek.blogspot.com/
GBS,http://chaoticsolitude.blogspot.com
Gursimran Arora,http://www.limeice.com/mt/
Gaurav,http://blinkaneye.blogspot.com
Ganesh,http://sailingboat.blogspot.com/
Gautam,http://gauteg.blogspot.com
Storm in a Coffee Mug,http://stormcoffee.blogspot.com
Gargi,http://www.20six.co.uk/gargi
Harish,http://bvhk.blogspot.com
Harris,http://technomerlin.blogspot.com/
Harsh,http://www.ebackend.com/blog/
Hemant Thakkar,http://hemya.blogspot.com
Haripriya and Indira,http://hurrytohari.blogspot.com
Hirak Parikh,http://hirak.blogspot.com
Harish Narayanan,http://glyx.sourceforge.net/blog/
Harshad,http://justanotherblog.rediffblogs.com
Hemanth,http://www.niceguyhemanth.com
Hitanshu,http://hitanshu.blogspot.com
Ishan,http://theothersideofcool.blogspot.com/
Jag,http://www.route79.com/journal/
Jaina,http://rav-ished.net
Jish,http://www.jish.nu
Jivha,http://www.jivha.com/blog
JK,http://varnam.org/blog/
Jigsha,http://www.jigsha.com/chai/index.htm
JustzzzZen,http://nothingbutzen.rediffblogs.com/
Kamat,http://www.kamat.com/vikas/blog.htm
Karthik,http://katchucrap.blogspot.com
Kaushik,http://www.kaush.com
Kensy Joseph,http://lethargiciitian.blogspot.com/
Khushee,http://mblog.com/khushee/
Kiruba Shankar,http://www.kiruba.com
Kingsley Jegan,http://kingsley2.com/
Krishna,http://crawls.blogspot.com
Kumaraguru,http://www.muselog.net
Kanags,http://kanags.rediffblogs.com
Karthick Seshu Tanveer,http://theskymaker.blogdrive.com
Karthik,http://karthikrb79.blogspot.com/
K Shyam,http://shyamk.blogspot.com
Lakshmi R,http://lakshmir.blogspot.com/
Lazy Lump,http://lazylump.rediffblogs.com/
Mahesh Shantaram,http://www.techrose.org/epiphany
Madhu aka Madman,http://www.madman.com
Madhoo,http://www.madhoo.com
Mamatha Meka,http://msjournal.blogspot.com/
Mathangi,http://aethyr.blogspot.com
Minnie,http://minn.livejournal.com
India,http://india.rapidblog.com
RapidBlog,http://www.rapidblog.com
Open Source,http://dev.rapidblog.com
PMP,http://pmp.rapidblog.com
Words,http://words.rapidblog.com
Mithun,http://www.rit.edu/~mam9005/
Manish,http://www.damnforeigner.com
Muthu,http://muthuonthenet.blog-city.com
Madhujit Ghosh,http://dinki.mine.nu/weblog/
Weblog Tools Collection,http://dinki.mine.nu/word/
Manish Verma,http://www.123iitjee.com/iitjee_blog.htm
Melody,http://melody.blog-city.com
Meenaks,http://meenaks.rediffblogs.com
Snapshots from MIT,http://mitsnapshots.rediffblogs.com
Muthu,http://muthukmuthu.blogspot.com
Nancy,http://underthefirestar.blogspot.com
Nidhi,http://nidhit.blogspot.com
Nilesh Chaudhari,http://www.nilesh.org/weblog/
Shutterbug,http://www.shutterbug.nu
Nina,http://www.kissedbyrain.com/
Nikki,http://www.deadjournal.com/~farawaytree
Nikhil,http://www16.brinkster.com/nikhilpahwa/content/blog.asp
Nikita Agarwal,http://nikiblogs.blogspot.com
Naveen Bachwani,http://www.NaveenBachwani.com
Navneet Nair,http://www.onclipevent.com/enterframe
Nelson Vinod Moses,http://twilightglade.blogspot.com
Nikhil,http://mountolympus.blogspot.com
Nikita,http://www.livejournal.com/users/datempest
Nitin Pai,http://opinion.paifamily.com
Onkar,http://www.onkar.blogspot.com/
Obscure,http://www.labyrinths.blogspot.com
Priya,http://mansi.blog-city.com
Prashant Kothari,http://www.prashantkothari.com
Prabhu Ram,http://infoserve.blogspot.com
Priya,http://www.luckycharm12.blogspot.com
Poornima,http://sameekshaa.tripod.com/newss01/newslog.html
Pradeep BS,http://questor.blogspot.com
Prashant,http://www.injun.org
Praveen,http://www.neoalchemist.com
Preeti,http://www.xanga.com/bubblestar
Prasenjeet Dutta,http://www.chaoszone.org/
Pooja Shirolkar,http://pshirolikar.blogspot.com
Prakash Dantuluri,http://tgid.rediffblogs.com
The Unified Blog Theory,http://tubt.rediffblogs.com
Patrix,http://patrix.rediffblogs.com
Pallavi,http://jil.rediffblogs.com
Padmaja Chaurasia,http://padmaja.blogspot.com
Pranshu,http://www.blurty.com/users/pranshu
here,http://greenapple.blogdrive.com
Praveen,http://cognitiveoverload.blogspot.com
Puneet,http://portlets.blogspot.com
Radhika,http://www.laraaki4u2nv.blogspot.com/
Ramanand,http://quatrainman.blogspot.com/
Ramkumar Duraikannu,http://rightho.com/blog/
Radhika,http://www.entelechy.ws
Radhika S.,http://radhika_s.blogspot.com/
Raghu,http://araghu.blogspot.com
Rajesh Jain,http://www.emergic.org/
Raj Mohan’s,http://ruskinbond.rediffblogs.com
Rajiv,http://www.rangad.blogspot.com
Ranjith Menon,http://ranjithmenon.blogspot.com
Ramakrishnan M,http://www.hackGNU.org/news.html
Ravi Kiran,http://www.ravikiran.com/
Rohini,http://scholar.blurty.com/
Robert Nagle,http://www.imaginaryplanet.net/weblogs/asiafirst/
Rajagopal,http://rajagopal.port5.com/weblog.php
Ritu,http://ritzysrambling.rediffblogs.com/
Rushi Desai,http://rushi.desai.name/weblog/
GoingToAmerica,http://www.goingtoamerica.info
Radhika,http://www.sathanurdam.com/radhika/index.jsp
Rajan,http://thiyagarajan.blogspot.com
Ridhish,http://www.ridhish.com/mt
Rajiv,http://rajspace.blog-city.com
Reuben Abraham,http://www.wetware.blogspot.com
Raj Shekhar,http://forever.blogdrive.com
Ramdhan,http://www.ramdhanyk.com
Enterprise Stuff,http://www.enterprisestuff.com
Rohan,http://rohangs.blogspot.com
Rohan George,http://viralfish.blogspot.com
Ramesh Narayanaswamy,http://www.aboutmylife.net/~rns/
Rajeev,http://www.sruthijith.blogspot.com
Rohit’s Bubble,http://rohitsbubble.sphosting.com
S Anand,http://www.s-anand.net
Sameer,http://supersam5.blogspot.com/
Sayan,http:///sayanc.blogspot.com
Shuchita,http://shuchita.blogspot.com
Sathish,http://sathishr.blogspot.com
Satyen Kale,http://www.cs.princeton.edu/~satyen/blog
Sajit Gandhi,http://desiblogs.blogspot.com/
Sonal,http://ucsu.colorado.edu/~bhushans/blogger.html
Shiva,http://theshiva.blogspot.com
Shyam,http://codelust.blogspot.com
Sindhi,http://onewingedbutterfly.net/beneath.html
Suman Kumar,http://suman.blogspot.com
Shailesh Kuber,http://eskay.blogspot.com
"Sharma, Monica and Deepak",http://www.webjives.com
Smitha,http://ecomancer.net/weblog/
Sylvia,http://nostalgica.blogspot.com
Srijith K,http://www.srijith.net/trinetre/
Suman Palit,http://www.palit.com/tkl.asp
Sunil Doshi,http://www.widepipe.org/
Srinivas,http://www.inkling.blogspot.com/
Sachin Nair,http://weblog.xlle.com
Sundeep,http://www.sundeepbihani.blogspot.com
Sangeeta,http://www.sunline.blogspot.com
Sachin Joshi,http://dotnetweblogs.com/Sjoshi/
Sanjay,http://sastools.com/b2
Sandy Uwach,http://sandipshahane.blogspot.com
Sshahane,http://sshahane.blogspot.com
Welcome to the Circus,http://welcometothecircus.blogspot.com
Word Power Made Easy,http://wordpowermadeeasy.blogspot.com
Swami,http://asymptotes.blogspot.com/
Shamit Bagchi,http://shamitbagchi.blogspot.com
Sheetal,http://sheetal01.rediffblogs.com
Shashank,http://shanks.blogspot.com/
Shyamal,http://www.shyamal.com
Suman,http://akela.blogspot.com
here,http://usablityrules.blogspot.com
Stephanie Booth,http://www.climbtothestars.org
Suba,http://subha.port5.com
Sid,http://sidsmuses.rediffblogs.com
Sree Lakshmi,http://sreelakshmi.blogspot.com/
Swesha,http://swesha.blogspot.com
Swarat,http://aesthesis.swarat.net
Sapna Bhargava,http://sapnab.blogspot.com
Seema Pai,http://wormatwork.diary-x.com
Shobha V,http://www.differentstrokes.blogspot.com
Sagar,http://bookmarksoflife.blurty.com
Shradha,http://www.livejournal.com/users/shradha/
Siddharth,http://hawkeyejo.blogspot.com
Sathish,http://sathishcj.blogspot.com
Sumedh,http://www.mungee.org
Samrat,http://samsjournal.blogspot.com/
Sagar Rajgopal,http://comfy.blogspot.com
Shrini,http://shrini.blogspot.com
Suruj Dutta,http://www.surujdutta.com/psychobabble
Sadagopan,http://123suds.blogspot.com
Saurab Dogra,http://wwww.saurabhdogra.com
Shalini Akhil,http://www.kai-india.com
Sharon,http://www.jinxe.blogspot.com
Shreenath,http://pande.tk
Sriram,http://ajsriram.blogspot.com
Sridevi,http://srideviradhakrishnan.blog-city.com
Sukanya M,http://saintfaron.blogspot.com
Suhit,http://www.worldisgreen.com
Suneel,http://www.suneel.blogspot.com
Sushubh,http://blog.sushubh.com/
Third Person,http://the-oars.blogspot.com
Tarun,http://tajo.rediffblogs.com/
Tassadar,http://tassadar.rediffblogs.com
Umair Salam,http://umairsalam.tripod.com/daily.html
Ullas Nair,http://www.livejournal.com/users/mallu/
Uma,http://www.gvauma.blogspot.com
Veena,http://waris.blogspot.com/
Vibhendu Tiwari,http://vibhendu1.blogspot.com
Vipul Sharma,http://blogworld.blogspot.com
Vikram,http://vikram18.blogspot.com
Vinay Jain,http://hindi.blogspot.com
VeerChand Bothra,http://www.jainnet.com/knowledgeeldorado/
Vignesh,http://www.upsaid.com/vignesh/
Vamsi Nath,http://www.vamsi.net/
Vijay Venkatesh,http://madras.blogspot.com
Vishal Khapre,http://www.khapre.org/blog/
VJ,http://vj13.blogspot.com
VS Babu's,http://vsbabu.org/mt/
Venkat,http://www.balasubramani.com/blog
V Subhash,http://vsubhash.blogspot.com
Venkatachalam Ramakrishnan,http://theultimatereality.blogspot.com
Vasanth,http://www.vasanthdharmaraj.com
Vidya,http://www.ridhish.com/vidya/
OJ ,http://yardboy.blogspot.com
Yazad Jal,http://www.yazadjal.com/
 Anita ,https://www.blogger.com/profile/15379363851929762011
View my complete profile,https://www.blogger.com/profile/15379363851929762011
